trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"71,False,""{'a': 0.3, 'e': 0.05842566596450083}"",20,13,2.3504969649823084,""{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"72,False,""{'a': 0.3, 'e': 0.056134762834133725}"",30,13,31.759011826130926,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"73,False,""{'a': 0.3, 'e': 0.05393368730035602}"",20,0,16.40229934375611,""{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}"",0"
"74,False,""{'a': 0.3, 'e': 0.05181891717272583}"",30,13,29.72855380603214,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"75,False,""{'a': 0.3, 'e': 0.049787068367863944}"",20,9,21.719202108353073,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"76,False,""{'a': 0.3, 'e': 0.04783488949419836}"",20,14,11.244847638996696,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"77,False,""{'a': 0.3, 'e': 0.045959256649044204}"",20,14,12.014575805741774,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"78,False,""{'a': 0.3, 'e': 0.04415716841969287}"",25,11,26.07409495421072,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"79,False,""{'a': 0.3, 'e': 0.042425741080511385}"",20,15,9.320463015055042,""{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"80,False,""{'a': 0.3, 'e': 0.04076220397836621}"",25,8,20.611113375238073,""{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}"",1"
"81,False,""{'a': 0.3, 'e': 0.039163895098987066}"",25,15,21.36695296652698,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"82,False,""{'a': 0.3, 'e': 0.0376282568071762}"",20,5,25.254143191619654,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"83,False,""{'a': 0.3, 'e': 0.03615283175404641}"",30,15,30.731363398298775,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"84,False,""{'a': 0.3, 'e': 0.03473525894473856}"",20,7,-1.2171442564130917,""{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}"",1"
"85,False,""{'a': 0.3, 'e': 0.03337326996032608}"",20,3,29.65092128839126,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"86,False,""{'a': 0.3, 'e': 0.032064685327860776}"",20,1,30.237714575791205,""{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"87,False,""{'a': 0.3, 'e': 0.03080741103275108}"",25,20,10.571290959524319,""{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"88,False,""{'a': 0.3, 'e': 0.029599435167892003}"",25,5,34.89856100100432,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"1,True,""{'a': 0, 'e': 0}"",25,5,32.11920134804779,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"2,True,""{'a': 0, 'e': 0}"",20,3,27.88001815312762,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"3,True,""{'a': 0, 'e': 0}"",30,14,32.44326902679673,""{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"4,True,""{'a': 0, 'e': 0}"",25,5,32.019375140611224,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"5,True,""{'a': 0, 'e': 0}"",25,15,17.646961955152626,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"6,True,""{'a': 0, 'e': 0}"",25,15,18.58544770148213,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"7,True,""{'a': 0, 'e': 0}"",35,14,39.2128319018164,""{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"8,True,""{'a': 0, 'e': 0}"",25,12,25.911045936911265,""{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"9,True,""{'a': 0, 'e': 0}"",20,9,23.90813136132728,""{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
